	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15
Acre	0.5	5.23	5.1	0.25	1.37	4.48	0.12	1	0.25	4.23	1.49	0.25	4.85	0.12	0.25
Alagoas	0.06	4.46	3.47	0.63	1.5	2.54	0.21	0.93	0.57	6.17	1.74	0.42	6.05	0.33	0.36
Amapa	0.26	3.13	4.96	1.3	4.04	0.65	0.26	1.17	0.39	3.26	0.65	0.13	4.17	0.52	1.04
Amazonas	0.53	4.72	7.19	1.04	5.28	2.34	0.13	0.99	0.53	0.05	1.5	0.23	4.62	0.94	0.13
Bahia	0.41	3.63	3.02	3.14	2.08	2.51	0.15	1.62	0.35	6.92	2.05	0.12	8.93	0.36	0.45
Ceara	0.46	7.24	3.55	2.96	3.47	2.54	0.3	0.37	0.62	8.51	2.1	0.52	7.84	0.54	0.51
Distrito Federal	0.82	4.8	2.54	2.5	2.02	1.58	0.24	0.17	0.51	0.07	3.09	0.55	5.94	0.75	0.51
Espirito Santo	0.74	5.29	3.77	5.27	3.21	1.88	0.25	2.57	0.61	0.15	2.7	0.53	8.07	0.66	0.71
Goias	1.24	8.58	3.81	3.07	3.34	1.82	0.17	0.21	0.51	7.85	2.16	0.42	7.41	1.21	0.18
Maranhao	0.22	3.23	5.1	0.54	1.71	2.2	0.16	0.12	0.29	0.09	1.1	0.14	5.58	0.22	0.35
Mato Grosso	0.28	3.31	3.22	0.58	1.56	2.42	0.24	1.96	0.4	0.09	1.99	0.34	7.5	0.55	0.43
Mato Grosso do Sul	0.98	7.28	3.92	4.26	3.88	1.89	0.23	0.3	0.49	0.26	2.3	0.3	8.71	1.17	0.23
Minas Gerais	1.57	7.75	2.18	1.49	4.76	2.85	0.2	2.12	0.55	0.13	2.62	0.36	7.79	1	0.21
Parana	0.94	7.69	3.03	1.2	3.31	2.23	0.41	2.2	0.58	8.93	3.36	0.64	8.36	0.97	0.28
Paraiba	1.21	5.99	3.42	0.93	4.93	2.64	0.35	0.38	0.35	7.43	2.27	0.18	8.94	0.83	0.25
Para	0.35	4.1	4.66	0.35	5.1	1.37	0.21	0.13	0.49	4.04	1.26	0.11	4.6	0.69	0.13
Pernambuco	1.18	6.07	3.79	2.24	4.09	3.07	0.27	0.28	0.37	0.09	2.23	0.48	8.71	0.75	0.26
Piaui	0.41	4.9	4.34	0.78	2	2.9	0.22	0.25	0.5	6.52	1.59	0.5	7.62	0.37	0.37
Rio Grande do Norte	0.84	7.29	3.57	0.84	5.05	2.5	0.32	0.32	0.76	7.76	2.59	0.29	8.22	0.76	0.15
Rio Grande do Sul	1.08	12.54	3.63	2.31	3.1	3.12	0.43	2.62	0.72	0.07	5.49	1.64	10.46	1.45	0.5
Rio de Janeiro	1.06	7.63	3.35	2.91	2.91	2.4	0.24	0.28	0.45	13.76	3.77	0.47	9.21	0.85	0.38
Rondonia	1.07	4.98	3.68	1.58	4.92	2.09	0.34	1.64	0.74	0.06	2.04	0.45	6.11	0.9	0.17
Roraima	0.59	3.56	7.32	1.38	2.77	2.97	0.2	1.19	1.38	0.2	2.37	0.2	6.33	0.4	0.59
Santa Catarina	0.72	7.38	3.26	1.16	3.08	3.62	0.34	1.7	0.54	0.1	3.84	1.41	8.05	0.84	0.32
Sergipe	0.54	4.01	4.1	0.76	1.47	1.47	0.18	0.22	0.31	0.18	2.1	0.27	6.15	0.4	0.27
Sao Paulo	0.89	7.18	2.12	3.39	3.08	0	0.38	2.52	0.57	10.51	0.01	0.52	7.53	0.79	0.33
Tocantins	1.06	5.87	4.03	2.24	3.04	1.52	0.46	0.26	0.59	4.55	1.32	0.26	8.38	0.53	0.07
